Symbol	Longname	Sector	1/1/2024 Open	1/1/2024 Close	1/8/2024 Open	1/8/2024 Close	1/15/2024 Open	1/15/2024 Close	1/22/2024 Open	1/22/2024 Close	1/29/2024 Open	1/29/2024 Close	2/5/2024 Open	2/5/2024 Close	2/12/2024 Open	2/12/2024 Close	2/19/2024 Open	2/19/2024 Close	2/26/2024 Open	2/26/2024 Close	3/4/2024 Open	3/4/2024 Close	3/11/2024 Open	3/11/2024 Close	3/18/2024 Open	3/18/2024 Close	3/25/2024 Open	3/25/2024 Close	4/1/2024 Open	4/1/2024 Close	4/8/2024 Open	4/8/2024 Close	4/15/2024 Open	4/15/2024 Close	4/22/2024 Open	4/22/2024 Close	4/29/2024 Open	4/29/2024 Close	5/6/2024 Open	5/6/2024 Close	5/13/2024 Open	5/13/2024 Close	5/20/2024 Open	5/20/2024 Close	5/27/2024 Open	5/27/2024 Close	6/3/2024 Open	6/3/2024 Close	6/10/2024 Open	6/10/2024 Close	6/17/2024 Open	6/17/2024 Close	6/24/2024 Open	6/24/2024 Close	7/1/2024 Open	7/1/2024 Close	7/8/2024 Open	7/8/2024 Close	7/15/2024 Open	7/15/2024 Close	7/22/2024 Open	7/22/2024 Close	7/29/2024 Open	7/29/2024 Close	8/5/2024 Open	8/5/2024 Close	8/12/2024 Open	8/12/2024 Close	8/19/2024 Open	8/19/2024 Close	8/26/2024 Open	8/26/2024 Close	9/2/2024 Open	9/2/2024 Close	9/9/2024 Open	9/9/2024 Close	9/16/2024 Open	9/16/2024 Close	9/23/2024 Open	9/23/2024 Close	9/30/2024 Open	9/30/2024 Close	10/7/2024 Open	10/7/2024 Close	10/14/2024 Open	10/14/2024 Close	10/21/2024 Open	10/21/2024 Close	10/28/2024 Open	10/28/2024 Close	11/4/2024 Open	11/4/2024 Close	11/11/2024 Open	11/11/2024 Close	11/18/2024 Open	11/18/2024 Close	11/25/2024 Open	11/25/2024 Close	12/2/2024 Open	12/2/2024 Close	12/9/2024 Open	12/9/2024 Close	12/16/2024 Open	12/16/2024 Close	12/23/2024 Open	12/23/2024 Close	12/30/2024 Open	12/30/2024 Close
AAPL	Apple Inc.	Technology	185.58	179.66	180.56	184.36	180.63	189.95	190.69	190.8	190.4	184.29	186.57	187.26	187.08	181.01	180.49	181.22	180.94	178.38	174.89	169.51	171.71	171.39	174.32	171.05	169.35	170.26	169.97	168.37	167.82	175.29	174.11	163.82	164.34	168.09	172.13	182.07	181.05	181.74	184.37	188.77	188.24	188.88	190.4	191.14	191.78	195.75	195.76	211.26	212.14	206.29	206.52	209.4	210.86	225.03	225.78	229.21	235.11	223.01	225.7	216.7	215.71	218.59	197.94	214.99	214.82	224.74	224.67	225.79	225.71	227.94	227.49	219.8	219.8	221.47	215.54	227.14	226.29	226.73	228.97	225.75	223.46	226.5	227.64	233.91	233.36	230.34	232.24	221.88	219.97	225.91	224.2	224.2	224.45	229.06	230.64	236.49	236.43	241.98	240.97	247.25	247.11	253.59	253.87	254.69	251.34	249.53
NVDA	NVIDIA Corporation	Technology	49.22	49.07	49.49	54.68	54.99	59.46	60.02	61.0	61.2	66.13	68.19	72.1	72.56	72.58	71.91	78.78	79.66	82.24	84.09	87.48	86.39	87.8	90.35	94.25	93.9	90.31	90.26	87.97	88.66	88.15	89.06	76.17	78.07	87.7	87.56	88.75	89.35	89.84	90.44	92.44	93.71	106.42	110.19	109.58	113.57	120.83	120.32	131.82	132.94	126.52	123.19	123.49	123.42	125.78	127.44	129.19	130.51	117.89	120.31	113.02	113.65	107.23	92.03	104.71	106.28	124.53	124.23	129.32	129.52	119.33	115.97	102.79	104.84	119.06	116.76	115.97	116.52	121.37	118.28	124.88	124.95	134.76	136.43	137.96	138.09	141.5	142.96	135.36	137.17	147.59	148.64	141.94	139.46	141.91	141.95	138.21	138.79	142.4	138.94	134.22	134.15	134.67	136.25	136.98	134.8	134.26
MSFT	Microsoft Corporation	Technology	369.06	363.03	364.56	383.48	388.6	393.55	394.88	398.74	400.84	405.94	404.63	415.15	415.16	398.87	398.8	405.82	406.93	410.92	408.88	401.74	399.31	411.83	409.68	424.01	420.55	416.08	419.28	420.83	420.48	417.25	421.9	394.72	395.67	401.84	400.78	402.18	404.25	410.17	413.4	415.58	416.33	426.19	425.66	411.3	411.69	419.93	420.78	438.48	438.5	445.63	445.64	442.82	444.52	463.24	462.24	449.36	449.11	433.07	437.71	421.34	427.59	404.72	385.58	402.27	403.3	414.6	415.84	413.68	413.27	414.03	414.8	398.71	404.21	427.38	427.39	432.03	431.04	424.83	425.02	412.96	412.9	413.22	414.66	415.04	413.02	424.96	428.44	407.31	406.75	419.39	419.37	411.91	411.78	413.89	416.09	421.15	419.27	441.15	440.18	444.83	444.83	434.21	434.35	428.18	423.73	419.2
GOOGL	Alphabet Inc.	Communication Services	137.6	134.8	135.36	141.67	141.03	145.38	146.09	151.15	151.02	141.4	141.84	147.98	147.4	139.56	138.7	142.97	141.17	136.2	134.73	134.48	135.2	140.21	147.59	149.74	148.91	149.9	149.66	151.46	151.73	156.65	157.77	153.03	153.25	170.77	167.9	166.09	166.31	167.49	163.13	174.85	174.98	173.79	173.26	171.32	171.36	173.26	173.77	175.58	174.46	178.6	179.13	181.11	181.98	189.51	188.82	184.01	183.86	176.65	179.56	166.05	167.87	165.71	154.61	162.74	163.41	162.03	164.34	164.67	165.43	162.45	160.8	150.06	151.64	156.56	156.62	162.87	163.63	163.23	162.6	166.33	166.98	162.52	162.92	162.7	162.23	164.54	168.01	170.54	169.18	177.57	177.8	171.73	172.66	164.04	165.36	168.21	168.03	173.94	173.2	188.99	192.24	190.79	191.99	192.13	189.18	188.68
GOOG	Alphabet Inc.	Communication Services	138.65	136.46	137.06	143.26	142.46	146.96	147.7	152.74	152.6	142.56	143.06	149.2	148.52	140.8	139.98	144.3	142.47	137.14	135.61	135.36	136.14	141.2	148.35	150.74	149.92	151.23	150.8	152.89	152.97	158.11	159.19	154.66	154.95	172.51	169.61	167.84	168.07	169.13	164.72	176.08	176.1	175.13	174.55	172.78	172.7	174.75	175.25	177.16	175.98	179.24	180.25	182.38	183.43	190.87	190.28	185.72	185.43	178.37	181.32	167.72	169.53	167.45	156.48	164.45	165.05	163.81	166.05	166.48	167.2	164.17	162.39	151.27	152.76	157.47	157.64	163.92	164.62	164.57	164.06	167.83	168.4	163.8	164.19	164.33	163.86	166.26	169.85	171.9	170.49	179.08	179.29	173.13	174.19	165.84	167.26	169.75	169.58	175.72	174.95	190.55	193.74	192.34	193.4	193.41	190.25	189.83
AMZN	Amazon.com, Inc.	Consumer Cyclical	151.54	145.24	146.74	154.62	153.53	155.34	156.89	159.12	159.34	171.81	170.2	174.45	174.8	169.51	167.83	174.99	175.7	178.22	177.53	175.35	174.31	174.42	175.8	178.87	178.01	180.38	180.79	185.07	186.9	186.13	187.43	174.63	176.94	179.62	182.75	186.21	186.28	187.48	188.0	184.7	184.34	180.75	179.93	176.44	177.7	184.3	184.07	183.66	182.52	189.08	189.33	193.25	193.49	200.0	200.04	194.49	194.56	183.13	185.0	182.5	183.84	167.9	154.21	166.94	168.14	177.06	177.64	177.04	176.7	178.5	177.55	171.39	174.53	186.49	185.29	191.6	191.64	187.97	187.14	186.51	182.95	188.82	189.78	188.99	188.05	187.83	189.57	197.93	196.45	208.18	208.5	202.61	204.15	197.12	199.28	207.89	209.96	227.03	227.21	227.46	230.23	224.92	225.01	223.75	220.06	219.39
META	Meta Platforms, Inc.	Communication Services	349.17	349.79	352.53	372.2	371.36	381.1	385.57	391.73	392.57	472.08	467.0	465.24	465.32	470.42	466.84	481.06	481.02	499.75	500.45	503.38	494.49	481.64	489.41	507.0	503.22	483.12	484.73	524.67	526.6	509.3	514.1	478.63	487.24	441.04	437.33	449.67	453.27	473.78	470.35	469.52	467.57	475.79	474.16	464.46	468.47	490.46	491.35	501.6	499.62	492.76	497.16	502.16	502.89	537.7	540.13	496.83	496.59	474.84	484.59	463.8	467.96	486.15	449.51	515.66	514.75	525.27	524.72	525.84	525.45	519.18	517.52	498.23	504.09	522.48	522.4	559.06	567.71	565.58	565.92	594.07	596.34	588.1	592.36	574.66	574.22	571.45	580.18	565.38	562.33	587.49	584.52	552.34	555.29	557.39	560.34	572.52	575.69	621.81	621.96	618.41	628.01	583.42	588.23	598.41	587.38	584.15
TSLA	Tesla, Inc.	Consumer Cyclical	250.08	237.49	236.14	218.89	215.1	212.19	212.26	183.25	185.63	187.91	184.26	193.57	192.11	199.95	196.13	191.97	192.29	202.64	198.73	175.34	175.45	163.57	170.02	170.83	168.76	175.79	176.17	164.9	169.34	171.05	170.24	147.05	140.56	168.29	188.42	181.19	183.8	168.47	170.0	177.46	177.56	179.24	176.4	178.08	178.13	177.48	176.06	178.01	177.92	183.01	184.97	197.88	201.02	251.52	247.71	248.23	255.97	239.2	244.21	219.8	224.9	207.67	185.22	200.0	199.02	216.12	217.07	220.32	218.75	214.11	215.26	210.73	216.2	230.29	229.3	238.25	242.61	260.46	259.04	250.08	249.0	217.8	220.13	220.7	218.9	269.19	270.0	248.98	244.56	321.22	346.3	320.72	340.73	352.56	360.14	345.16	352.38	389.22	397.61	436.23	441.09	421.06	431.0	431.66	419.4	403.84
AVGO	Broadcom Inc.	Technology	107.0	102.8	103.51	108.52	108.98	118.67	119.16	118.05	119.03	119.95	120.21	125.74	126.39	122.03	121.08	127.01	128.35	137.08	137.47	128.22	125.2	121.05	122.86	132.61	132.34	130.41	130.44	131.79	131.22	132.25	134.8	118.53	120.48	132.25	132.25	125.76	126.55	131.14	132.63	137.28	137.35	138.52	138.73	130.72	133.09	138.4	138.71	170.71	177.11	163.2	161.56	157.97	158.74	168.12	168.29	167.86	167.8	155.31	158.15	149.67	150.05	141.96	127.93	146.34	146.16	163.57	162.72	164.2	162.82	160.71	158.3	135.22	137.31	165.52	163.05	168.88	170.33	171.01	170.2	174.92	173.12	179.72	181.52	178.14	177.64	171.32	171.32	167.28	167.64	181.86	181.62	163.24	164.05	162.63	163.79	160.51	161.37	177.79	177.21	222.62	229.54	218.65	224.49	239.4	233.04	230.2
UNH	UnitedHealth Group Incorporated	Healthcare	509.65	519.85	521.81	504.5	506.63	487.13	487.5	486.79	486.7	493.59	493.33	501.32	501.32	504.54	507.11	510.04	511.09	473.56	467.48	461.02	463.26	476.68	477.92	475.95	476.47	480.45	480.23	442.61	442.84	426.55	429.27	486.69	483.44	481.08	481.43	478.26	478.29	498.04	497.3	509.52	509.52	493.53	492.06	481.1	479.9	476.56	476.86	482.8	477.18	468.69	476.79	496.69	494.24	475.96	477.11	498.9	511.3	551.37	549.15	555.66	551.75	575.27	567.75	544.97	548.44	563.42	563.81	570.08	573.53	575.63	577.89	582.15	583.55	579.65	580.31	560.81	564.25	569.5	571.11	578.65	576.29	585.36	586.39	557.52	557.55	552.58	554.23	555.51	554.71	602.74	603.81	579.66	576.93	578.33	584.9	597.25	600.97	537.95	540.28	509.43	508.95	491.39	492.01	501.08	498.0	497.02
